modality,disease,feature,feature_rank,mean_abs_shap,median_abs_shap,pct_contribution,directional_association
Gut,Prediabetes,Faecalibacterium_prausnitzii,7,0.045734,0.039645,3.18,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Bacteroides_uniformis,8,0.033599,0.027443,2.34,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Escherichia_coli,9,0.049043,0.044629,3.41,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Bacteroides_vulgatus,10,0.076835,0.063913,5.34,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Enterococcus_faecalis,11,0.070002,0.061239,4.87,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Bifidobacterium_longum,12,0.002144,0.001681,0.15,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Phascolarctobacterium_faecium,13,0.001581,0.001296,0.11,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Log_Firmicutes_Bacteroidetes_Ratio,14,0.157052,0.127951,10.92,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Methanobrevibacter_smithii,15,0.016976,0.013929,1.18,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Prevotella_copri,16,0.064639,0.051309,4.49,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Lactobacillus_acidophilus,17,0.004668,0.003619,0.32,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Anaerostipes_caccae,18,0.017733,0.013813,1.23,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Eubacterium_rectale,19,0.027882,0.021855,1.94,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Collinsella_aerofaciens,20,0.016877,0.013202,1.17,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Streptococcus_thermophilus,21,0.007071,0.00579,0.49,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Bacteroides_thetaiotaomicron,22,0.070368,0.060526,4.89,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Coprococcus_eutactus,23,0.014896,0.012615,1.04,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Barnesiella_intestinihominis,24,0.028507,0.024036,1.98,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Blautia_hansenii,25,0.000298,0.000255,0.02,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Observed_Richness,26,0.015304,0.012382,1.06,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Butyrate_Producer_Index,27,0.005971,0.005279,0.42,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Shannon_Diversity,28,0.074073,0.058367,5.15,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Dialister_invisus,29,0.003731,0.00299,0.26,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Sutterella_wadsworthensis,30,0.026746,0.022199,1.86,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Christensenella_minuta,31,0.009101,0.007331,0.63,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Pielou_Evenness,32,0.052557,0.04214,3.65,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Veillonella_parvula,33,0.001601,0.001292,0.11,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Klebsiella_pneumoniae,34,0.018663,0.014986,1.3,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Eggerthella_lenta,35,0.016649,0.014645,1.16,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Inflammation_Associated_Index,36,0.02692,0.02518,1.87,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Barrier_Associated_Index,37,0.025139,0.020912,1.75,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Parabacteroides_distasonis,38,0.034578,0.029025,2.4,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Fusobacterium_nucleatum,39,0.018903,0.015903,1.31,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Alistipes_finegoldii,40,0.033786,0.028538,2.35,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Roseburia_intestinalis,41,0.022551,0.01823,1.57,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Blautia_wexlerae,42,0.014535,0.012687,1.01,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Holdemanella_biformis,43,0.01313,0.010774,0.91,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Bacteroides_fragilis,44,0.051685,0.043785,3.59,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Ruminococcus_gnavus,45,0.070733,0.059303,4.92,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Simpson_Diversity,46,0.035562,0.029467,2.47,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Subdoligranulum_variable,47,0.017798,0.015154,1.24,Higher value associated with higher model-predicted risk
Gut,Prediabetes,Alistipes_putredinis,48,0.02401,0.019328,1.67,Higher value associated with lower model-predicted risk
Gut,Prediabetes,Akkermansia_muciniphila,49,0.018202,0.014614,1.27,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Ruminococcus_bromii,1,0.001364,0.001086,0.69,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Klebsiella_pneumoniae,2,0.009882,0.009998,5.02,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Pielou_Evenness,3,0.002095,0.001934,1.07,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Methanobrevibacter_smithii,4,0.001207,0.000927,0.61,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Parabacteroides_distasonis,5,0.004371,0.004432,2.22,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Enterococcus_faecalis,6,0.005351,0.004896,2.72,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Alistipes_finegoldii,7,0.001822,0.001551,0.93,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Bacteroides_uniformis,8,0.001416,0.001097,0.72,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Shannon_Diversity,9,0.006837,0.007082,3.48,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Bifidobacterium_adolescentis,10,0.003,0.003134,1.53,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Observed_Richness,11,0.00147,0.001578,0.75,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Bacteroides_vulgatus,12,0.003874,0.003935,1.97,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Subdoligranulum_variable,13,0.001601,0.001424,0.81,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Barrier_Associated_Index,14,0.004342,0.004427,2.21,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Lactobacillus_acidophilus,15,0.001937,0.001833,0.98,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Faecalibacterium_prausnitzii,16,0.004222,0.004457,2.15,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Roseburia_intestinalis,17,0.001288,0.000947,0.65,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Simpson_Diversity,18,0.003913,0.00406,1.99,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Dialister_invisus,19,0.000962,0.000646,0.49,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Phascolarctobacterium_faecium,20,0.002509,0.00265,1.28,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Bilophila_wadsworthia,21,0.006149,0.006217,3.13,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Ruminococcus_gnavus,22,0.006865,0.006485,3.49,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Barnesiella_intestinihominis,23,0.001629,0.0014,0.83,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Collinsella_aerofaciens,24,0.002612,0.002849,1.33,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Blautia_wexlerae,25,0.003629,0.003235,1.84,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Holdemanella_biformis,26,0.00342,0.003704,1.74,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,SCFA_Producer_Index,27,0.002557,0.002057,1.3,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Veillonella_parvula,28,0.00393,0.003998,2.0,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Bifidobacterium_longum,29,0.00208,0.002033,1.06,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Anaerostipes_caccae,30,0.001099,0.000767,0.56,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Butyrate_Producer_Index,31,0.003103,0.002894,1.58,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Log_Firmicutes_Bacteroidetes_Ratio,32,0.002163,0.00192,1.1,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Eubacterium_rectale,33,0.001859,0.001704,0.95,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Fusobacterium_nucleatum,34,0.007488,0.008121,3.81,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Inflammation_Associated_Index,35,0.023767,0.02399,12.08,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Streptococcus_thermophilus,36,0.00163,0.001572,0.83,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Coprococcus_eutactus,37,0.001383,0.001282,0.7,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Bacteroides_thetaiotaomicron,38,0.003628,0.00347,1.84,Non-linear / context-dependent model risk association
Gut,Type2_Diabetes,Prevotella_copri,39,0.008166,0.008315,4.15,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Escherichia_coli,40,0.010683,0.010916,5.43,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Bacteroides_fragilis,41,0.006164,0.007208,3.13,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Alistipes_putredinis,42,0.001989,0.001902,1.01,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Sutterella_wadsworthensis,43,0.00427,0.005355,2.17,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Christensenella_minuta,44,0.001833,0.001935,0.93,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Lactobacillus_rhamnosus,45,0.001277,0.000853,0.65,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Eubacterium_hallii,46,0.004294,0.004835,2.18,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Blautia_hansenii,47,0.001101,0.000997,0.56,Higher value associated with higher model-predicted risk
Gut,Type2_Diabetes,Akkermansia_muciniphila,48,0.005786,0.00622,2.94,Higher value associated with lower model-predicted risk
Gut,Type2_Diabetes,Eggerthella_lenta,49,0.008674,0.009667,4.41,Higher value associated with higher model-predicted risk
Wearable,High_Adiposity_Risk,Activity_Energy_Expenditure,1,0.109806,0.092546,11.56,Higher value associated with lower model-predicted risk
Wearable,High_Adiposity_Risk,Autonomic_Stress_Score,2,0.111718,0.101661,11.77,Higher value associated with lower model-predicted risk
Wearable,High_Adiposity_Risk,Average_Daily_Steps,3,0.034689,0.030786,3.65,Higher value associated with lower model-predicted risk
Wearable,High_Adiposity_Risk,Resting_Heart_Rate,4,0.102283,0.095778,10.77,Higher value associated with higher model-predicted risk
Wearable,High_Adiposity_Risk,Sleep_Duration_Hours,5,0.094911,0.074843,10.0,Higher value associated with lower model-predicted risk
Wearable,High_Adiposity_Risk,Heart_Rate_Variability_RMSSD,6,0.07597,0.062914,8.0,Higher value associated with lower model-predicted risk
Wearable,High_Adiposity_Risk,Exercise_Frequency_Days,7,0.009753,0.009367,1.03,Higher value associated with lower model-predicted risk
Wearable,High_Adiposity_Risk,Active_Minutes,8,0.037729,0.031941,3.97,Higher value associated with higher model-predicted risk
Wearable,High_Adiposity_Risk,Sedentary_Time_Minutes,9,0.27775,0.225579,29.25,Higher value associated with higher model-predicted risk
Wearable,High_Adiposity_Risk,CGM_Average_Glucose,10,0.004961,0.001118,0.52,Higher value associated with higher model-predicted risk
Wearable,High_Adiposity_Risk,CGM_Glucose_CV,11,0.058039,0.011935,6.11,Higher value associated with higher model-predicted risk
Wearable,High_Adiposity_Risk,Sleep_Efficiency_Score,12,0.023443,0.01976,2.47,Higher value associated with higher model-predicted risk
Wearable,High_Adiposity_Risk,CGM_Time_Above_Range,13,0.004459,0.00111,0.47,Higher value associated with lower model-predicted risk
Wearable,High_Adiposity_Risk,CGM_Time_In_Range,14,0.003814,0.00093,0.4,Higher value associated with higher model-predicted risk
Wearable,High_Adiposity_Risk,CGM_Time_Below_Range,15,0.000183,4.9e-05,0.02,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,CGM_Glucose_CV,1,0.131683,0.027078,19.28,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,Activity_Energy_Expenditure,2,0.000306,0.000258,0.04,Higher value associated with lower model-predicted risk
Wearable,Metabolic_Syndrome,Average_Daily_Steps,3,0.009413,0.008354,1.38,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,Autonomic_Stress_Score,4,0.035586,0.032382,5.21,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,Sedentary_Time_Minutes,5,0.166946,0.135588,24.44,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,Resting_Heart_Rate,6,0.023741,0.022231,3.48,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,Exercise_Frequency_Days,7,0.007649,0.007347,1.12,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,Sleep_Duration_Hours,8,0.08473,0.066815,12.41,Higher value associated with lower model-predicted risk
Wearable,Metabolic_Syndrome,CGM_Time_Below_Range,9,0.002264,0.000604,0.33,Higher value associated with lower model-predicted risk
Wearable,Metabolic_Syndrome,CGM_Time_In_Range,10,0.033158,0.008089,4.85,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,CGM_Average_Glucose,11,0.01159,0.002612,1.7,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,Active_Minutes,12,0.020636,0.01747,3.02,Higher value associated with higher model-predicted risk
Wearable,Metabolic_Syndrome,Sleep_Efficiency_Score,13,0.015259,0.012862,2.23,Higher value associated with lower model-predicted risk
Wearable,Metabolic_Syndrome,Heart_Rate_Variability_RMSSD,14,0.099575,0.082462,14.58,Higher value associated with lower model-predicted risk
Wearable,Metabolic_Syndrome,CGM_Time_Above_Range,15,0.040432,0.010067,5.92,Higher value associated with lower model-predicted risk
Wearable,NAFLD,CGM_Average_Glucose,1,0.14515,0.145994,9.89,Higher value associated with lower model-predicted risk
Wearable,NAFLD,CGM_Time_Above_Range,2,0.118723,0.119054,8.09,Higher value associated with lower model-predicted risk
Wearable,NAFLD,Sleep_Efficiency_Score,3,0.181271,0.182456,12.36,Non-linear / context-dependent model risk association
Wearable,NAFLD,Exercise_Frequency_Days,4,0.014089,0.013895,0.96,Non-linear / context-dependent model risk association
Wearable,NAFLD,Active_Minutes,5,0.003396,0.002848,0.23,Non-linear / context-dependent model risk association
Wearable,NAFLD,Heart_Rate_Variability_RMSSD,6,0.196644,0.197299,13.4,Non-linear / context-dependent model risk association
Wearable,NAFLD,Sedentary_Time_Minutes,7,0.114691,0.115282,7.82,Non-linear / context-dependent model risk association
Wearable,NAFLD,CGM_Time_Below_Range,8,0.014107,0.013233,0.96,Higher value associated with higher model-predicted risk
Wearable,NAFLD,Autonomic_Stress_Score,9,0.002112,0.00173,0.14,Non-linear / context-dependent model risk association
Wearable,NAFLD,CGM_Time_In_Range,10,0.082667,0.082415,5.63,Non-linear / context-dependent model risk association
Wearable,NAFLD,Resting_Heart_Rate,11,0.019066,0.018572,1.3,Non-linear / context-dependent model risk association
Wearable,NAFLD,Average_Daily_Steps,12,0.014159,0.014156,0.97,Non-linear / context-dependent model risk association
Wearable,NAFLD,Activity_Energy_Expenditure,13,0.091825,0.092355,6.26,Non-linear / context-dependent model risk association
Wearable,NAFLD,Sleep_Duration_Hours,14,0.137318,0.136349,9.36,Non-linear / context-dependent model risk association
Wearable,NAFLD,CGM_Glucose_CV,15,0.331904,0.333233,22.62,Higher value associated with lower model-predicted risk
Wearable,Prediabetes,CGM_Time_In_Range,1,0.091244,0.090396,4.14,Higher value associated with higher model-predicted risk
Wearable,Prediabetes,Exercise_Frequency_Days,2,0.004979,0.005169,0.23,Higher value associated with lower model-predicted risk
Wearable,Prediabetes,Sleep_Efficiency_Score,3,0.03379,0.034195,1.53,Non-linear / context-dependent model risk association
Wearable,Prediabetes,Heart_Rate_Variability_RMSSD,4,0.237817,0.238981,10.78,Non-linear / context-dependent model risk association
Wearable,Prediabetes,Resting_Heart_Rate,5,0.215771,0.216385,9.78,Non-linear / context-dependent model risk association
Wearable,Prediabetes,CGM_Average_Glucose,6,0.282545,0.283265,12.81,Higher value associated with lower model-predicted risk
Wearable,Prediabetes,CGM_Glucose_CV,7,0.49458,0.493551,22.42,Higher value associated with higher model-predicted risk
Wearable,Prediabetes,Sleep_Duration_Hours,8,0.043577,0.043989,1.98,Non-linear / context-dependent model risk association
Wearable,Prediabetes,Active_Minutes,9,0.073675,0.073897,3.34,Higher value associated with higher model-predicted risk
Wearable,Prediabetes,CGM_Time_Below_Range,10,0.006352,0.006627,0.29,Higher value associated with lower model-predicted risk
Wearable,Prediabetes,Sedentary_Time_Minutes,11,0.11621,0.116233,5.27,Non-linear / context-dependent model risk association
Wearable,Prediabetes,Average_Daily_Steps,12,0.027649,0.027433,1.25,Non-linear / context-dependent model risk association
Wearable,Prediabetes,Activity_Energy_Expenditure,13,0.312558,0.312481,14.17,Non-linear / context-dependent model risk association
Wearable,Prediabetes,Autonomic_Stress_Score,14,0.166709,0.168716,7.56,Non-linear / context-dependent model risk association
Wearable,Prediabetes,CGM_Time_Above_Range,15,0.098725,0.099393,4.47,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,CGM_Time_Below_Range,1,0.006775,0.001809,0.58,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Activity_Energy_Expenditure,2,0.156315,0.131744,13.43,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,Sleep_Duration_Hours,3,0.06447,0.050839,5.54,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,Sedentary_Time_Minutes,4,0.066492,0.054002,5.71,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Active_Minutes,5,0.038627,0.032701,3.32,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Sleep_Efficiency_Score,6,0.034019,0.028675,2.92,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,Exercise_Frequency_Days,7,0.010004,0.009608,0.86,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Average_Daily_Steps,8,0.005154,0.004574,0.44,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Resting_Heart_Rate,9,0.162521,0.152185,13.96,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,CGM_Glucose_CV,10,0.114341,0.023512,9.82,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,Autonomic_Stress_Score,11,0.229024,0.208406,19.68,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,Heart_Rate_Variability_RMSSD,12,0.193889,0.160568,16.66,Higher value associated with lower model-predicted risk
Wearable,Type2_Diabetes,CGM_Average_Glucose,13,0.05643,0.012718,4.85,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,CGM_Time_Above_Range,14,0.005225,0.001301,0.45,Higher value associated with higher model-predicted risk
Wearable,Type2_Diabetes,CGM_Time_In_Range,15,0.020596,0.005025,1.77,Higher value associated with lower model-predicted risk
