modality,disease,feature,top10_frequency,mean_rank,rank_std_dev,is_stable_predictor
Gut,Metabolic_Syndrome,Observed_Richness,0.0,20.85,6.12,False
Gut,Metabolic_Syndrome,Pielou_Evenness,0.2,25.4,9.2,False
Gut,Metabolic_Syndrome,SCFA_Producer_Index,0.8,11.6,9.2,True
Gut,Metabolic_Syndrome,Butyrate_Producer_Index,0.0,29.65,9.62,False
Gut,Metabolic_Syndrome,Barrier_Associated_Index,0.0,19.6,10.19,False
Gut,Metabolic_Syndrome,Inflammation_Associated_Index,0.0,20.75,5.63,False
Gut,Metabolic_Syndrome,Log_Firmicutes_Bacteroidetes_Ratio,0.0,36.0,0.0,False
Gut,NAFLD,Akkermansia_muciniphila,0.0,48.0,0.0,False
Gut,NAFLD,Faecalibacterium_prausnitzii,0.0,45.0,0.0,False
Gut,NAFLD,Roseburia_intestinalis,0.0,46.0,0.0,False
Gut,NAFLD,Bifidobacterium_longum,0.0,17.0,0.0,False
Gut,NAFLD,Bifidobacterium_adolescentis,0.0,16.0,0.0,False
Gut,NAFLD,Bacteroides_thetaiotaomicron,0.0,39.0,0.0,False
Gut,NAFLD,Bacteroides_vulgatus,0.0,12.0,0.0,False
Gut,NAFLD,Bacteroides_fragilis,0.0,22.0,0.0,False
Gut,NAFLD,Bacteroides_uniformis,0.0,47.0,0.0,False
Gut,NAFLD,Prevotella_copri,0.0,29.0,0.0,False
Gut,NAFLD,Ruminococcus_bromii,0.0,38.0,0.0,False
Gut,NAFLD,Ruminococcus_gnavus,0.15,37.7,15.0,False
Gut,NAFLD,Blautia_wexlerae,0.8,10.35,16.7,True
Gut,NAFLD,Blautia_hansenii,0.05,40.95,8.94,False
Gut,NAFLD,Collinsella_aerofaciens,0.05,39.0,8.72,False
Gut,NAFLD,Escherichia_coli,0.95,3.0,8.72,True
Gut,NAFLD,Klebsiella_pneumoniae,0.4,15.4,9.31,False
Gut,NAFLD,Coprococcus_eutactus,0.6,11.6,9.31,False
Gut,NAFLD,Alistipes_putredinis,0.0,13.0,0.0,False
Gut,NAFLD,Alistipes_finegoldii,1.0,9.0,0.0,True
Gut,NAFLD,Subdoligranulum_variable,0.0,14.0,0.0,False
Gut,NAFLD,Enterococcus_faecalis,0.0,15.45,1.07,False
Gut,NAFLD,Eubacterium_rectale,0.0,17.55,1.07,False
Gut,NAFLD,Eubacterium_hallii,1.0,4.5,1.5,True
Gut,NAFLD,Parabacteroides_distasonis,0.95,4.75,2.05,True
Gut,NAFLD,Lactobacillus_acidophilus,0.05,10.75,1.09,False
Gut,NAFLD,Lactobacillus_rhamnosus,0.8,11.8,3.6,True
Gut,NAFLD,Streptococcus_thermophilus,0.2,17.2,3.6,False
Gut,NAFLD,Eggerthella_lenta,0.0,28.85,4.95,False
Gut,NAFLD,Christensenella_minuta,0.0,31.85,4.41,False
Gut,NAFLD,Methanobrevibacter_smithii,0.0,44.5,9.33,False
Gut,NAFLD,Dialister_invisus,0.0,25.45,7.97,False
Gut,NAFLD,Holdemanella_biformis,0.25,18.05,6.97,False
Gut,NAFLD,Barnesiella_intestinihominis,0.9,7.25,5.18,True
Gut,NAFLD,Anaerostipes_caccae,0.75,11.85,9.96,False
Gut,NAFLD,Phascolarctobacterium_faecium,0.15,30.85,9.88,False
Gut,NAFLD,Veillonella_parvula,0.95,9.35,5.88,True
Gut,NAFLD,Fusobacterium_nucleatum,0.0,36.0,0.0,False
Gut,NAFLD,Bilophila_wadsworthia,0.0,33.0,0.0,False
Gut,NAFLD,Sutterella_wadsworthensis,0.0,35.3,7.6,False
Gut,NAFLD,Shannon_Diversity,0.0,30.75,7.42,False
Gut,NAFLD,Simpson_Diversity,0.0,28.2,8.43,False
Gut,NAFLD,Observed_Richness,0.0,31.35,7.8,False
Gut,NAFLD,Pielou_Evenness,0.0,26.05,4.24,False
Gut,NAFLD,SCFA_Producer_Index,0.0,26.35,3.57,False
Gut,NAFLD,Butyrate_Producer_Index,0.0,30.0,0.0,False
Gut,NAFLD,Barrier_Associated_Index,0.0,35.95,4.48,False
Gut,NAFLD,Inflammation_Associated_Index,0.0,35.05,4.48,False
Gut,NAFLD,Log_Firmicutes_Bacteroidetes_Ratio,0.0,34.0,0.0,False
